Question,Answer
What kind of company is Movensys and what is its primary focus?,Movensys is an IT company that provides total motion control solutions for factory automation. It is also described as a software-based controller platform provider.
What are the main product categories offered by Movensys?,"Movensys offers three main product categories: Software Motion Control, which specifically includes WMX and WMX Extension. This is described as a software-based motion control platform. Hardware Solution, which provides a variety of solutions such as IPC, IO, Servo, Step, and Module. Navigation Software for AMR (Autonomous Mobile Robot), referred to as AMR Solution. This is a total AMR control platform."
What is the core philosophy or mission behind Movensys' technology?,Movensys' core philosophy is centered on providing more innovative value beyond motion control through its open architecture-based technology. Their solutions are designed to make all customer?™s equipment smarter and contribute to making factories smarter. Movensys positions itself as the most powerful solution provider in the era of industrial automation connected to the smart factory.
What is Movensys' physical address and primary contact information?,"Movensys is located at 8F Joy City Tower, 25 Hwangsaeul-ro 258 beon-gil, Bundang-gu, Seongnam-si, Gyeonggi-do, Republic of Korea 13595. Their telephone number is +82-31-895-5066, and their fax number is +82-70-4015-5066."
What is Movensys' primary focus and core business as indicated by its products and services?,"Movensys provides Software Motion Control solutions, specifically WMX and WMX Extension, which are software-based motion control platforms. They also offer Hardware Solutions including IPC, IO, Servo, Step, and Module, and Navigation Software for AMR (Autonomous Mobile Robot), referred to as AMR Solution. Movensys' core Soft Motion technology enables motion control on standard Windows PCs using software alone, aiming to replace traditional hardware motion controller boards and simplify system overhead."
What are the three main product categories offered by Movensys?,"Movensys offers three primary product categories: Software Motion Control, which includes WMX and WMX Extension; Hardware Solution, encompassing products like IPC, IO, Servo, Step, and Module; and Navigation Software for AMR, known as AMR Solution."
"How does WMX function as a motion control solution, and what are its main advantages?","WMX is a software-based motion control solution developed using Movensys' unique Soft Motion technology. Its main advantage is enabling motion control of equipment on standard Windows PCs using software alone. This capability helps in replacing traditional motion controller boards by reducing complex cabling of legacy hardware-based systems and simplifying overall system overhead. Furthermore, customers can customize real-time control threads for high speed and accuracy."
What are the key features and architectural principles of WMX?,"WMX is built on a real-time operating system (RTOS), ensuring periodic and real-time control by occupying one or more cores of a multicore CPU. It features an Open Architecture (Moventecture), which enables users to develop additional functions beyond basic motion functions. Users can develop desired functionality using general programming languages such as C, C++, C#, VB, and Python. WMX has also obtained the highest level of EtherCAT Master Class, Class A standard, and supports communication protocols including EtherCAT, CC-Link IE TSN, and MECHATROLINK-4, allowing for hybrid control."
What are the different licensing options and supported operating system environments for WMX?,"WMX offers License options including Windows, Standard, and Advanced. For operating system environments, it supports both Windows + Real-time OS RTX64, which can control 128 axes (1ms) to 16 axes (125¥ìs), and Windows OS (Non Real-time) for EtherCAT (128 axes, 8ms) and Simulation (128 axes, 1~8ms). RTOS trial versions are available for up to 3 months, while non-RTOS versions allow continuous communication for one hour without a license and API testing in simulation mode without functional limitations. Certain WMX3 options like AVX, SCARA, and 6-DOF features are exclusively available with the advanced license."
"What are the detailed technical specifications of WMX regarding control axis, I/O, communication, and nodes?","WMX supports 4 to 128 Axes for control, with up to 64 sets for synchronous and interpolation control. It handles 64,000 inputs and 64,000 outputs, totaling 15.625KB. The Communication / Command Cycle ranges from 31.25¥ìs to 8ms, varying based on CPU performance and communication platform. The Maximum Number of Nodes supported is 256. Its communication platforms include EtherCAT, CC-Link IE TSN, and MECHATROLINK-4, and it supports communication connection methods such as Line, Ring, Star, and Hybrid Communication."
What are the recommended PC specifications for running WMX?,"The recommended PC specifications for WMX include an Intel 8th Gen or higher CPU (i3, i5, i7, Xeon). The operating system should ideally be Windows 10 IoT Enterprise LTSC recommended, specifically Version Windows 10 1809 or higher. It also requires support for an Intel NIC and 8GB or more of RAM."
In which industries and specific applications is Movensys' WMX technology utilized?,"Movensys' WMX technology is applied across several industries: Semiconductor, used in Front/Back-end Processes (e.g., Photo, Etching, Wet/Dry Cleaner, Inspection), for Wafer Transfer Robots, and in Stocker/OHT/AMR systems. Display, applied in Front/Back-end Processes (e.g., Cleaner, Exposure, Coater, Etcher, Inspection), for Glass Transfer Robots, and in Stocker/OHS/AMR systems. Smart Device, utilized for Camera Inspection, Flex Bending/Dispenser/Assembly, and SCARA Robots. Secondary Cell (EV Battery), employed in processes like Stacking/Packaging/Welding, Activation Process, and for OHT/AMR systems."
